course_id,title,displayName,description,subjectAreaCode,subjectAreaDescription,meetsMonday,meetsTuesday,meetsWednesday,meetsThursday,meetsFriday,meetsSaturday,meetsSunday,startTime,endTime,locationCode,locationDescription,buildingCode,buildingDescription
161760,Aerospace Engineering 2 Seminar,AERO ENG 2,This is a freshman-level seminar course offered every Spring semester that showcases aerospace-related research by the UC Berkeley campus engineering and scientific community (including Lawrence Berkeley National Laboratory and the Space Sciences Laboratory).  This seminar will be coordinated by one of the faculty who will be in charge of scheduling the speakers.,AERO ENG,Aerospace Engineering,False,False,False,False,True,False,False,13:00:00,13:59:00,ETCH3110,Etcheverry 3110,1783,Etcheverry
162181,Introduction to Aerospace Engineering Design,AERO ENG 10,"This course introduces mathematical engineering concepts and a wide range of analysis and design techniques of relevance to aerospace engineering via approximately 3-week modules covering the following topics: dynamics and control of a small quad-rotor aircraft; dynamics of elliptic, hyperbolic, and parabolic orbits, including rendezvous of objects in the same circular orbit; control volume analysis of a rocket engine; sling-shot effect to drive space probes into space; thermal control in outer space; optimization of airfoils using morphing techniques; rapid prototyping-assisted design of lightweight materials.",AERO ENG,Aerospace Engineering,True,False,True,False,True,False,False,09:00:00,09:59:00,SOCS140,Social Sciences Building 140,1761,Social Sci
161884,Freshman Seminars,AERO ENG 24,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester. ",AERO ENG,Aerospace Engineering,False,True,False,False,False,False,False,15:00:00,15:59:00,CORY237,Cory 237,1325,Cory
162748,Directed Group Study for Advanced Undergraduates,AERO ENG 198,Group study of a selected topic or topics in Aerospace Engineering. Credit for 198 or 199 courses combined may not exceed 4 units in any single term. See College for other restrictions.,AERO ENG,Aerospace Engineering,False,True,False,False,False,False,False,17:00:00,18:29:00,HILDB51,Hildebrand B51,1809,Hildebrand
100002,Foundations of the U.S. Air Force,AEROSPC 1A,"This course introduces students to the United States Air Force (USAF) and Air Force Reserve Officer Training Corps (AFROTC) with an overview of the basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, Air Force career opportunities, military customs and courtesies, and an introduction to USAF basic communication skills. Additionally, AFROTC cadets must attend weekly Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drills and ceremonies. ",AEROSPC,Aerospace Studies,False,False,False,False,True,False,False,14:00:00,14:59:00,BARK110,Barker 110,1793,Barker
100003,Foundations of the U.S. Air Force,AEROSPC 1B,"A survey course designed to introduce cadets to the U.S. Air Force and the Air Force Reserve Officer Training Corps (AFROTC). Featured topics include the history and structure of the U.S. Air Force, the Air Force’s capabilities, career opportunities, benefits, Air Force installations, and communications skills.  Additionally, AFROTC cadets must attend Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drills and ceremonies. ",AEROSPC,Aerospace Studies,True,False,False,False,False,False,False,10:00:00,10:59:00,VLSB2066,Valley Life Sciences 2066,1406,Valley Lsb
100003,Foundations of the U.S. Air Force,AEROSPC 1B,"A survey course designed to introduce cadets to the U.S. Air Force and the Air Force Reserve Officer Training Corps (AFROTC). Featured topics include the history and structure of the U.S. Air Force, the Air Force’s capabilities, career opportunities, benefits, Air Force installations, and communications skills.  Additionally, AFROTC cadets must attend Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drills and ceremonies. ",AEROSPC,Aerospace Studies,False,False,False,False,True,False,False,15:00:00,15:59:00,BARK110,Barker 110,1793,Barker
100009,The Evolution of Air and Space Power,AEROSPC 2B,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind.  Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict management.  Students should demonstrate basic verbal and written communication skills.  Note: AFROTC cadets will apply these lessons at Leadership Lab and Field Training. ",AEROSPC,Aerospace Studies,True,False,False,False,False,False,False,15:00:00,15:59:00,MORG109,Morgan 109,1382,Morgan
100009,The Evolution of Air and Space Power,AEROSPC 2B,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind.  Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict management.  Students should demonstrate basic verbal and written communication skills.  Note: AFROTC cadets will apply these lessons at Leadership Lab and Field Training. ",AEROSPC,Aerospace Studies,False,False,False,False,True,False,False,11:00:00,11:59:00,DWIN223,Dwinelle 223,1295,Dwinelle
100004,Leadership Laboratory,AEROSPC 100,"Leadership Lab (LLAB) represents the hands-on portion of the Aerospace Studies courses.  It presents a dynamic and integrated grouping of leadership developmental activities. LLAB is a student planned, organized, and executed practicum intended to maximize cadet leadership experience and preparation for easy transition to their active duty assignments. It is conducted under the supervision of AFROTC cadre. The course focuses on the leadership experiences of senior and junior cadets and provides training in basic military knowledge and skills to underclass cadets. Cadets are trained on proper uniform wear, grooming and appearance requirements, physical fitness, knowledge of military customs and courtesies, and military drill and ceremony. ",AEROSPC,Aerospace Studies,False,False,False,False,True,False,False,12:00:00,13:59:00,PHYS3,Physics Building 3,1405,Physics
